Name_Tag;ID_Tag;Tag_Ebene
PräfReal;1458;93
ge-Prä;1459;93
ge-Prä-;1461;93
VokBew;1462;94
VokVerd;1463;94
aVerd;1464;94
aVerd+;1465;94
IND;1508;97
Temp;58;97
präs;59;97
GeVe;21;97
Akt;22;97
lVar;276;14
LVOK;277;14
LVOK-;279;14
VokChange;280;14
VokChange+;281;14
vel;1471;14
LNach;291;14
P;292;14
LVOK+;278;14
MG;300;14
ehPart;1481;95
ehVerw;1488;95
ehKan;1489;95
ehTemp;1491;95
ehTemp-;1492;95
ehSubs;1482;95
ehSubs-;1484;95
PartClus;1485;95
PartClus-;1487;95
sentstr;847;95
stress+;848;95
Int;810;95
fall;813;95
PPräp;410;24
Präp;411;24
Präp+;412;24
erwPräp;414;24
erw+;415;24
PräpKon;417;24
PronP;419;24
erwKas;423;24
dat;425;24
PräpKonKopf;432;24
Pron;441;24
PräpKonKas;433;24
akk;424;24
NP;418;24
PräpArt;428;24
voll;435;24
PräpArtKas;429;24
amb;426;24
PräpattrAdj;430;24
PräpattrAdj-;439;24
N;440;24
ge-Prä+;1460;93
PräpattrAdj+;438;24
PräpattrAdjKas;431;24
KONJ;203;10, 87
KKon;231;10
Kperi;243;10
tunK;259;10
KMark;232;10
ad-;1494;10
sd-;6;10, 96
KLaut;233;10
stdL-;248;10
Ksynth;244;10
ad+;246;10
perf;61;97
sd+;5;10, 96
VokEntr;1467;94
oiEntr;1468;94
oiEntr-;1470;94
VokChange-;282;14
alv;343;14
retro;1472;14
pronAdv;1495;96
Anl;1496;96
vokAnl+;1497;96
VoFo-;1500;96
Real;1501;96
präpVD;1502;96
Sdent;4;96
vokAnl-;1498;96
ePA;1503;96
ArtPron;1518;24
unm;427;24
prät;60;97
Pass;23;97
stdL+;247;10
Präp-;413;24
Art0;437;24
red;436;24
aVerd-;1466;94
ehSond;1490;95
ehTemp+;1493;95
stress-;849;95
level;812;95
Fut1;63;97
pronVD;1504;96
distVD;1505;96
Af;296;14
AdvP;421;24
Adv;443;42
erw-;416;24
V;1474;14
oiEntr+;1469;94
F;295;14
(perf);1513;97
würdeK;258;10
lAusf;1476;14
AdjP;420;42
Adj;442;24
ehSubs+;1483;95
(präs);1514;97
pqp;62;97
IMP;1510;97
gen;160;24
ig;284;15
igReal;285;15
Ap;297;14
(KONJ);1509;97
L;294;14
(Fut1);1515;97
(Akt);1512;97
kurzVD;1506;96
ADJI;759;42
Steig;770;42
Sadjp;771;42
Gebr;774;42
präd;776;42
Sem;716;38
qual;779;42
Intv;783;42
Int+;784;42
Intri;786;42
Istark;787;42
Inttyp;790;42
Iadva;797;42
rel;780;42
Int-;785;42
attr;775;42
quant;781;42
Ipart;793;42
apart;782;42
Sadjk;772;42
Iamb;789;42
Idup;796;42
Sadjs;773;42
Iadv;791;42
Iext;795;42
Iadj;1477;42
Ischwach;788;42
Ipron;800;42
Ikomp;798;42
adva;797;42
p;292;14
f;295;14
I2art;794;42
Iprä;792;42
ÄußP;1478;24
Äuß;1479;24
l;294;14
(pqp);1516;97
Irpon;800;42
Fut2;64;97
Ellip;1507;96
(IND);1511;97
(Temp);58;97
(GeVe);21;97
ehPart;1481;95
erw0;1480;24
VoFo+;1499;96
PartClus+;1486;95
(Pass);1520;97
(prät);1519;97
MG;300;14
Intv;783;88, 42
nom;856;24
PräpP;422;24
Prä;444;24
dperf;1517;97
Vib;1475;14
pala;1473;14
ehSubs;1482;95
LNach;291;14
ehSon;1490;95
Iadv;791;42
Int;810;95
N;440;24
adv;777;42
