Sigle;Dateiname;Fragebuch;ErhebungsId
UB_MA;PP02_109_UB_MA_01.ogg;01;13
UB_MA;PP02_109_UB_MA_02.ogg;02;14
UB_MA;PP02_109_UB_MA_03.ogg;03;15
UB_MA;PP02_109_UB_MA_04.ogg;04;16
UB_MA;PP02_109_UB_MA_05.ogg;05;17
UB_MA;PP02_109_UB_MA_06.ogg;06;18
UB_MA;PP02_109_UB_MA_07.ogg;07;19
UB_MA2;PP02_114_UB_MA2_01.ogg;01;13
UB_MA2;PP02_114_UB_MA2_02.ogg;02;14
UB_MA2;PP02_114_UB_MA2_03.ogg;03;15
UB_MA2;PP02_114_UB_MA2_04.ogg;04;16
UB_MA2;PP02_114_UB_MA2_05.ogg;05;17
UB_MA2;PP02_114_UB_MA2_06.ogg;06;18
UB_MA2;PP02_114_UB_MA2_07.ogg;07;19
UB_MJ;PP02_110_UB_MJ_01.ogg;01;13
UB_MJ;PP02_110_UB_MJ_02.ogg;02;14
UB_MJ;PP02_110_UB_MJ_03.ogg;03;15
UB_MJ;PP02_110_UB_MJ_04.ogg;04;16
UB_MJ;PP02_110_UB_MJ_05.ogg;05;17
UB_MJ;PP02_110_UB_MJ_06.ogg;06;18
UB_MJ;PP02_110_UB_MJ_07.ogg;07;19
UB_MJ2;PP02_111_UB_MJ2_01.ogg;01;13
UB_MJ2;PP02_111_UB_MJ2_02.ogg;02;14
UB_MJ2;PP02_111_UB_MJ2_03.ogg;03;15
UB_MJ2;PP02_111_UB_MJ2_04.ogg;04;16
UB_MJ2;PP02_111_UB_MJ2_05.ogg;05;17
UB_MJ2;PP02_111_UB_MJ2_06.ogg;06;18
UB_MJ2;PP02_111_UB_MJ2_07.ogg;07;19
UB_WJ;PP02_113_UB_WJ_01.ogg;01;13
UB_WJ;PP02_113_UB_WJ_02.ogg;02;14
UB_WJ;PP02_113_UB_WJ_03.ogg;03;15
UB_WJ;PP02_113_UB_WJ_04.ogg;04;16
UB_WJ;PP02_113_UB_WJ_05.ogg;05;17
UB_WJ;PP02_113_UB_WJ_06.ogg;06;18
UB_WJ;PP02_113_UB_WJ_07.ogg;07;19
BD_MA;PP02_006_BD_MA_01.ogg;01;13
BD_MA;PP02_006_BD_MA_02.ogg;02;14
BD_MA;PP02_006_BD_MA_03.ogg;03;15
BD_MA;PP02_006_BD_MA_04.ogg;04;16
BD_MA;PP02_006_BD_MA_05.ogg;05;17
BD_MA;PP02_006_BD_MA_06.ogg;06;18
BD_MA;PP02_006_BD_MA_07.ogg;07;19
BD_WA;PP02_011_BD_WA_01.ogg;01;13
BD_WA;PP02_011_BD_WA_02.ogg;02;14
BD_WA;PP02_011_BD_WA_03.ogg;03;15
BD_WA;PP02_011_BD_WA_04.ogg;04;16
BD_WA;PP02_011_BD_WA_05.ogg;05;17
BD_WA;PP02_011_BD_WA_06.ogg;06;18
BD_WA;PP02_011_BD_WA_07.ogg;07;19
BD_MJ;PP02_041_BD_MJ_01.ogg;01;13
BD_MJ;PP02_041_BD_MJ_02.ogg;02;14
BD_MJ;PP02_041_BD_MJ_03.ogg;03;15
BD_MJ;PP02_041_BD_MJ_04.ogg;04;16
BD_MJ;PP02_041_BD_MJ_05.ogg;05;17
BD_MJ;PP02_041_BD_MJ_06.ogg;06;18
BD_MJ;PP02_041_BD_MJ_07.ogg;07;19
BD_WJ;PP02_007_BD_WJ_01.ogg;01;13
BD_WJ;PP02_007_BD_WJ_02.ogg;02;14
BD_WJ;PP02_007_BD_WJ_03.ogg;03;15
BD_WJ;PP02_007_BD_WJ_04.ogg;04;16
